kc/mc,nr,mr,gflops,time (seconds),util
168,2,2,21.682680,12.380179,0.821314
168,4,2,21.698723,12.371025,0.821921
168,8,2,21.731928,12.352123,0.823179
168,2,4,14.796574,18.141730,0.560476
168,4,4,14.747901,18.201604,0.558633
168,8,4,14.270498,18.810518,0.540549
168,2,8,8.890450,30.193687,0.336759
168,4,8,8.973753,29.913399,0.339915
168,8,8,8.996694,29.837121,0.340784
336,2,2,26.400000,6.520685,1.000000
336,4,2,26.400000,6.530053,1.000000
336,8,2,26.400000,6.543957,1.000000
336,2,4,26.400000,9.618966,1.000000
336,4,4,26.400000,9.595639,1.000000
336,8,4,26.400000,9.592237,1.000000
336,2,8,17.047716,15.746124,0.645747
336,4,8,17.357821,15.464813,0.657493
336,8,8,17.585695,15.264421,0.666125
672,2,2,26.400000,3.252181,1.000000
672,4,2,26.400000,3.248630,1.000000
672,8,2,26.400000,3.234754,1.000000
672,2,4,26.400000,4.720793,1.000000
672,4,4,26.400000,4.720350,1.000000
672,8,4,26.400000,4.718992,1.000000
672,2,8,26.400000,8.099221,1.000000
672,4,8,26.400000,8.088208,1.000000
672,8,8,26.400000,8.092853,1.000000
