kc/mc,nr,mr,gflops,time (seconds),util
76,2,2,12.612376,4.597235,0.397115
76,4,2,13.026065,4.451234,0.410141
76,8,2,12.500897,4.638232,0.393605
76,2,4,8.360938,6.934875,0.263254
76,4,4,7.961482,7.282822,0.250676
76,8,4,8.409469,6.894854,0.264782
76,2,8,5.272063,10.997982,0.165997
76,4,8,5.270244,11.001779,0.165940
76,8,8,5.275724,10.990350,0.166112
152,2,2,23.755292,2.440806,0.747963
152,4,2,24.076122,2.408281,0.758064
152,8,2,24.252082,2.390807,0.763605
152,2,4,16.543327,3.504861,0.520886
152,4,4,16.749439,3.461731,0.527375
152,8,4,16.360627,3.544000,0.515133
152,2,8,10.139327,5.718531,0.319248
152,4,8,10.119346,5.729823,0.318619
152,8,8,10.243026,5.660637,0.322513
304,2,2,31.760000,1.341689,1.000000
304,4,2,31.760000,1.302642,1.000000
304,8,2,31.760000,1.307702,1.000000
304,2,4,30.888274,1.877154,0.972553
304,4,4,30.485552,1.901952,0.959873
304,8,4,30.763968,1.884739,0.968639
304,2,8,18.871458,3.072474,0.594189
304,4,8,19.032362,3.046498,0.599256
304,8,8,19.370135,2.993374,0.609891
