kc/mc,nr,mr,gflops,time (seconds),util, A block (KB), B Sliver (KB)
96,4,4,10.344642,5.605033,0.162856,72/256.000000,6/32.000000
96,8,4,10.280195,5.640171,0.161842,72/256.000000,12/32.000000
96,16,4,9.847349,5.888088,0.155028,72/256.000000,24/32.000000
96,4,8,16.657642,3.480808,0.262242,72/256.000000,6/32.000000
96,8,8,15.929616,3.639891,0.250781,72/256.000000,12/32.000000
96,16,8,16.397673,3.535993,0.258150,72/256.000000,24/32.000000
96,4,16,24.495356,2.367063,0.385632,72/256.000000,6/32.000000
96,8,16,24.591913,2.357769,0.387152,72/256.000000,12/32.000000
96,16,16,24.250016,2.391011,0.381770,72/256.000000,24/32.000000
96,4,32,30.499675,1.901071,0.480159,72/256.000000,6/32.000000
96,8,32,19.894076,2.914539,0.313194,72/256.000000,12/32.000000
96,16,32,26.522587,2.186139,0.417547,72/256.000000,24/32.000000
96,4,96,32.136588,1.804238,0.505929,72/256.000000,6/32.000000
96,8,96,30.846802,1.879678,0.485623,72/256.000000,12/32.000000
96,16,96,30.917908,1.875355,0.486743,72/256.000000,24/32.000000
102,4,4,8.004728,7.243476,0.126019,81/256.000000,6/32.000000
102,8,4,7.869105,7.368317,0.123884,81/256.000000,12/32.000000
102,16,4,5.826878,9.950793,0.091733,81/256.000000,25/32.000000
102,4,8,10.231889,5.666799,0.161081,81/256.000000,6/32.000000
102,8,8,8.553221,6.778973,0.134654,81/256.000000,12/32.000000
102,16,8,11.239943,5.158572,0.176951,81/256.000000,25/32.000000
102,4,16,15.631712,3.709258,0.246091,81/256.000000,6/32.000000
102,8,16,13.861854,4.182850,0.218228,81/256.000000,12/32.000000
102,16,16,15.215288,3.810776,0.239535,81/256.000000,25/32.000000
102,4,32,18.880688,3.070972,0.297240,81/256.000000,6/32.000000
102,8,32,17.897052,3.239755,0.281755,81/256.000000,12/32.000000
102,16,32,14.359529,4.037880,0.226063,81/256.000000,25/32.000000
102,4,96,11.553569,5.018541,0.181889,81/256.000000,6/32.000000
102,8,96,12.545957,4.621573,0.197512,81/256.000000,12/32.000000
102,16,96,9.310076,6.227882,0.146569,81/256.000000,25/32.000000
109,4,4,4.491985,12.907893,0.070718,92/256.000000,6/32.000000
109,8,4,6.277672,9.236236,0.098830,92/256.000000,13/32.000000
109,16,4,6.780553,8.551229,0.106747,92/256.000000,27/32.000000
109,4,8,10.287166,5.636349,0.161952,92/256.000000,6/32.000000
109,8,8,10.856942,5.340552,0.170922,92/256.000000,13/32.000000
109,16,8,10.526824,5.508030,0.165725,92/256.000000,27/32.000000
109,4,16,13.470689,4.304313,0.212070,92/256.000000,6/32.000000
109,8,16,13.265728,4.370816,0.208843,92/256.000000,13/32.000000
109,16,16,14.104056,4.111020,0.222041,92/256.000000,27/32.000000
109,4,32,18.218315,3.182625,0.286812,92/256.000000,6/32.000000
109,8,32,18.985779,3.053973,0.298895,92/256.000000,13/32.000000
109,16,32,16.422241,3.530703,0.258537,92/256.000000,27/32.000000
109,4,96,19.744006,2.936692,0.310831,92/256.000000,6/32.000000
109,8,96,19.525532,2.969551,0.307392,92/256.000000,13/32.000000
109,16,96,15.953670,3.634403,0.251160,92/256.000000,27/32.000000
128,4,4,6.530691,8.878396,0.102813,128/256.000000,8/32.000000
128,8,4,9.415982,6.157835,0.148236,128/256.000000,16/32.000000
128,16,4,9.659983,6.002294,0.152078,128/256.000000,32/32.000000
128,4,8,15.552242,3.728212,0.244840,128/256.000000,8/32.000000
128,8,8,15.907508,3.644949,0.250433,128/256.000000,16/32.000000
128,16,8,16.285186,3.560417,0.256379,128/256.000000,32/32.000000
128,4,16,24.330041,2.383147,0.383030,128/256.000000,8/32.000000
128,8,16,24.251896,2.390826,0.381799,128/256.000000,16/32.000000
128,16,16,23.792191,2.437021,0.374562,128/256.000000,32/32.000000
128,4,32,32.474067,1.785488,0.511242,128/256.000000,8/32.000000
128,8,32,31.501655,1.840604,0.495933,128/256.000000,16/32.000000
128,16,32,32.181514,1.801719,0.506636,128/256.000000,32/32.000000
128,4,96,19.842157,2.922165,0.312377,128/256.000000,8/32.000000
128,8,96,19.810169,2.926884,0.311873,128/256.000000,16/32.000000
128,16,96,20.187429,2.872186,0.317812,128/256.000000,32/32.000000
153,4,4,6.801468,8.524933,0.107076,182/256.000000,9/32.000000
153,8,4,6.735124,8.608907,0.106032,182/256.000000,19/32.000000
153,16,4,6.767571,8.567632,0.106542,182/256.000000,38/32.000000
153,4,8,10.669986,5.434127,0.167978,182/256.000000,9/32.000000
153,8,8,10.643558,5.447620,0.167562,182/256.000000,19/32.000000
153,16,8,10.863621,5.337268,0.171027,182/256.000000,38/32.000000
153,4,16,15.912290,3.643854,0.250508,182/256.000000,9/32.000000
153,8,16,14.704113,3.943254,0.231488,182/256.000000,19/32.000000
153,16,16,15.126535,3.833136,0.238138,182/256.000000,38/32.000000
153,4,32,17.778689,3.261324,0.279891,182/256.000000,9/32.000000
153,8,32,17.485449,3.316018,0.275275,182/256.000000,19/32.000000
153,16,32,16.766857,3.458135,0.263962,182/256.000000,38/32.000000
153,4,96,13.903134,4.170431,0.218878,182/256.000000,9/32.000000
153,8,96,13.962944,4.152567,0.219820,182/256.000000,19/32.000000
153,16,96,14.175877,4.090192,0.223172,182/256.000000,38/32.000000
